,Name,Requested Action Group
00080050,Accession Number,X
00184000,Acquisition Comments,X
00400555,Acquisition Context Sequence,X
00080022,Acquisition Date,C
0008002A,Acquisition DateTime,C
00181400,Acquisition Device Processing Description,X
001811BB,Acquisition Field Of View Label,X
00189424,Acquisition Protocol Description,X
00080032,Acquisition Time,C
00080017,Acquisition UID,X
00404035,Actual Human Performers Sequence,X
001021B0,Additional Patient History,X
0040A353,Address (Trial),X
00380010,Admission ID,X
00380020,Admitting Date,C
00081084,Admitting Diagnoses Code Sequence,X
00081080,Admitting Diagnoses Description,X
00380021,Admitting Time,C
00001000,Affected SOP Instance UID,X
00102110,Allergies,X
006A0006,Annotation Group Description,X
006A0005,Annotation Group Label,X
006A0003,Annotation Group UID,X
00440004,Approval Status DateTime,C
40000010,Arbitrary,X
00440104,Assertion DateTime,C
00440105,Assertion Expiration DateTime,C
04000562,Attribute Modification DateTime,C
0040A078,Author Observer Sequence,X
22000005,Barcode Value,X
300A00C3,Beam Description,X
300C0127,Beam Hold Transition DateTime,C
300A00DD,Bolus Description,X
00101081,Branch of Service,X
0014407E,Calibration Date,C
00181203,Calibration DateTime,C
0014407C,Calibration Time,C
0016004D,Camera Owner Name,X
00181007,Cassette ID,K
04000115,Certificate of Signer,X
04000310,Certified Timestamp,C
00120060,Clinical Trial Coordinating Center Name,X
00120082,Clinical Trial Protocol Ethics Committee Approval Number,X
00120081,Clinical Trial Protocol Ethics Committee Name,X
00120020,Clinical Trial Protocol ID,X
00120021,Clinical Trial Protocol Name,X
00120072,Clinical Trial Series Description,X
00120071,Clinical Trial Series ID,X
00120030,Clinical Trial Site ID,X
00120031,Clinical Trial Site Name,X
00120010,Clinical Trial Sponsor Name,X
00120040,Clinical Trial Subject ID,X
00120042,Clinical Trial Subject Reading ID,X
00120051,Clinical Trial Time Point Description,X
00120050,Clinical Trial Time Point ID,X
00400310,Comments on Radiation Dose,X
00400280,Comments on the Performed Procedure Step,X
300A02EB,Compensator Description,X
00209161,Concatenation UID,X
3010000F,Conceptual Volume Combination Description,X
30100017,Conceptual Volume Description,X
30100006,Conceptual Volume UID,X
00403001,Confidentiality Constraint on Patient Data Description,X
30100013,Constituent Conceptual Volume UID,X
0008009D,Consulting Physician Identification Sequence,X
0008009C,Consulting Physician's Name,X
0050001B,Container Component ID,X
0040051A,Container Description,X
00400512,Container Identifier,X
00700086,Content Creator's Identification Code Sequence,X
00700084,Content Creator's Name,X
00080023,Content Date,C
0040A730,Content Sequence,X
00080033,Content Time,C
00080107,Context Group Local Version,C
00080106,Context Group Version,C
00180010,Contrast/Bolus Agent,X
00181042,Contrast/Bolus Start Time,C
00181043,Contrast/Bolus Stop Time,C
0018A002,Contribution DateTime,C
0018A003,Contribution Description,X
00102150,Country of Residence,X
21000040,Creation Date,C
21000050,Creation Time,C
0040A307,Current Observer (Trial),X
00380300,Current Patient Location,X
50xxxxxx,Curve Data,X
00080025,Curve Date,C
00080035,Curve Time,C
0040A07C,Custodial Organization Sequence,X
FFFCFFFC,Data Set Trailing Padding,X
0040A121,Date,C
0040A110,Date of Document or Verbal Transaction (Trial),C
00181205,Date of Installation,C
00181200,Date of Last Calibration,C
0018700C,Date of Last Detector Calibration,C
00181204,Date of Manufacture,C
00181012,Date of Secondary Capture,C
0040A120,DateTime,C
00181202,DateTime of Last Calibration,C
00189701,Decay Correction DateTime,C
0018937F,Decomposition Description,X
00082111,Derivation Description,X
21000140,Destination AE,K
0018700A,Detector ID,K
3010001B,Device Alternate Identifier,X
00500020,Device Description,K
3010002D,Device Label,K
00181000,Device Serial Number,K
0016004B,Device Setting Description,X
00181002,Device UID,K
04000105,Digital Signature DateTime,C
04000100,Digital Signature UID,X
FFFAFFFA,Digital Signatures Sequence,X
00209164,Dimension Organization UID,X
00380030,Discharge Date,C
00380040,Discharge Diagnosis Description,X
00380032,Discharge Time,C
300A079A,Displacement Reference Label,X
4008011A,Distribution Address,X
40080119,Distribution Name,X
300A0016,Dose Reference Description,X
300A0013,Dose Reference UID,X
3010006E,Dosimetric Objective UID,X
00686226,Effective DateTime,C
00420011,Encapsulated Document,X
00189517,End Acquisition DateTime,C
30100037,Entity Description,X
30100035,Entity Label,X
30100038,Entity Long Label,X
30100036,Entity Name,X
